== Parameters ==
2009_2: -4.5795, -2.80388, -3.59616, -2.48764, -3.69738, -1.80825, -3.06942, -2.48634, -3.03116, -3.11466, -3.66402, -2.70891, -2.81251, -5.32556, -3.98634, -4.28081, -3.40247, -3.36708, -2.69671, -2.62507, -3.25674, -3.88624, -2.34373, -2.95727, -4.04508, -4.64783, -3.42483, -2.89872, -3.85356, -4.39964, -2.97686, -4.48824, -7.65293, -3.03246, -2.4499, -3.7023, -3.43155, -3.61072, -3.54076, -2.15019, 
2014_6: -4.08306, -3.99487, -2.88455, -2.81755, -3.26671, -1.96392, -3.48414, -2.78716, -4.34755, -3.78821, -2.98278, -4.28235, -3.90052, -4.94948, -2.43492, -4.99475, -7.46729, -2.9461, -3.17805, -3.11474, -3.98208, -3.03311, -4.04227, -3.94429, -4.20758, -4.07097, -2.22339, -3.28782, -2.91958, -3.4684, -3.98974, -3.16529, -4.73323, -3.08196, -3.00304, -3.65782, -3.47304, -2.51263, -3.22901, -2.74743, 
2011_8: -4.60267, -3.81964, -4.26018, -2.51121, -3.83605, -1.81897, -3.87058, -3.50568, -2.91921, -4.63034, -3.05398, -4.14822, -3.70113, -1.97796, -2.17124, -4.16281, -4.78106, -3.41609, -4.40615, -4.0796, -4.0177, -4.19909, -4.63467, -2.69508, -4.37623, -4.2962, -2.28049, -3.62106, -2.14032, -4.48187, -3.88097, -7.15761, -2.72958, -3.28049, -3.06393, -3.25478, -3.28938, -4.07614, -4.51236, -2.93146, 
2004_3: -4.0399, -2.58593, -3.85094, -2.29139, -3.40593, -1.59594, -4.16611, -2.66704, -2.58964, -3.28886, -4.07158, -1.929, -3.13046, -4.14908, -3.07706, -3.71396, -3.50103, -3.2606, -4.29574, -3.33873, -2.94118, -4.2766, -2.37609, -2.74585, -3.79985, -3.82783, -2.84902, -3.01216, -3.77945, -3.6507, -3.00043, -4.19458, -4.16085, -3.43847, -2.19657, -3.46418, -3.03295, -3.06647, -5.62009, -1.619, 
2017_4: -5.08433, -3.12631, -4.09562, -2.57617, -3.51764, -1.80433, -3.5698, -3.41442, -3.29003, -3.56792, -2.49421, -5.73527, -2.47176, -2.1569, -1.84681, -5.27237, -4.30321, -3.36976, -3.53746, -4.05602, -5.03917, -4.01698, -5.60722, -3.55497, -3.601, -3.46764, -2.29324, -3.04843, -2.63749, -3.76737, -3.82839, -4.17034, -3.53874, -2.97004, -3.01776, -3.30175, -3.20644, -4.00529, -3.64751, -2.5151, 
2001_6: -4.27604, -2.53753, -3.75476, -1.5749, -4.28587, -1.19956, -2.71272, -2.02617, -2.99425, -2.81947, -3.96938, -3.23677, -3.99964, -4.66168, -1.85269, -3.76096, -3.94793, -3.45308, -1.96738, -3.38319, -3.27574, -3.72361, -2.32301, -2.68934, -3.99626, -3.90754, -2.88075, -4.67474, -3.52034, -3.97726, -2.58798, -3.97721, -4.02882, -3.99495, -3.45624, -3.53024, -3.93674, -3.38597, -3.80737, -1.43976, 
2016_7: -4.02745, -4.07145, -3.32081, -2.76131, -6.00958, -1.98897, -3.74811, -3.89481, -3.24724, -3.90715, -3.42679, -4.92352, -3.59987, -3.08038, -2.46838, -3.53557, -3.6863, -3.62323, -4.02052, -3.77022, -4.17589, -3.56864, -4.97613, -3.2024, -4.29102, -3.29799, -4.02967, -4.13745, -2.60762, -3.50115, -4.13807, -3.51854, -3.61269, -2.70596, -3.83859, -4.43829, -6.99468, -2.56559, -3.58981, -3.5015, 
2011_4: -4.24114, -2.82878, -4.23887, -2.39018, -3.40543, -2.55286, -3.28191, -2.44661, -3.00194, -4.74476, -3.65803, -2.65546, -3.31372, -3.57134, -2.35066, -4.20637, -4.41874, -3.11591, -2.56221, -3.4801, -3.26402, -5.31527, -3.57735, -3.36312, -3.89744, -4.68176, -2.97327, -2.94716, -3.64337, -4.42331, -4.02636, -4.52755, -4.02041, -4.82596, -2.44083, -4.07116, -3.90276, -3.55857, -4.16678, -2.04667, 
2001_0: -3.71606, -2.8449, -3.83778, -2.20442, -3.63778, -1.52295, -3.53541, -2.34629, -2.69128, -2.99937, -3.86229, -1.27489, -2.84222, -3.64695, -3.28555, -3.94276, -3.65776, -3.21119, -1.87008, -3.10431, -2.83613, -6.02699, -1.85119, -2.67599, -3.52704, -3.96026, -2.75611, -3.39967, -3.27771, -3.60631, -2.22946, -5.84306, -4.14502, -4.01706, -3.53518, -3.54178, -3.30299, -3.02987, -3.09689, -1.13848, 
2013_6: -4.18843, -4.10616, -3.31342, -2.99077, -3.16039, -2.08113, -3.6724, -3.4243, -3.37891, -4.19774, -3.95296, -6.12711, -4.49246, -3.25158, -2.342, -4.36278, -6.18861, -4.28682, -2.97323, -2.93915, -4.36753, -3.69641, -4.07536, -3.24282, -4.5054, -4.51895, -2.12171, -3.85428, -2.82305, -3.86218, -3.59043, -3.50699, -3.8895, -4.2055, -2.87291, -4.09785, -3.76562, -2.84972, -3.73967, -3.1401, 
2015_4: -4.61202, -2.74221, -4.52208, -2.46827, -2.67131, -1.68632, -3.08971, -2.3975, -3.55596, -3.13354, -3.58711, -5.01449, -3.55138, -3.99788, -1.85563, -4.13951, -3.84045, -3.46292, -2.59667, -2.92785, -3.60478, -4.14346, -3.2061, -3.27455, -3.64431, -3.6159, -2.25868, -2.72535, -2.42163, -3.9302, -3.68232, -4.66648, -4.14784, -3.14177, -2.98405, -3.22293, -3.85114, -3.90155, -3.68203, -2.18446, 
2000_4: -3.56861, -3.84069, -3.27894, -2.20672, -4.30002, -1.51633, -2.98128, -2.54965, -3.01395, -3.43021, -3.26061, -2.3122, -3.07085, -3.66212, -2.90655, -3.47872, -3.97688, -3.40236, -2.72635, -3.25403, -3.39237, -3.87314, -2.31161, -2.3467, -4.8494, -5.47133, -3.01822, -3.28054, -3.36008, -3.55429, -3.0533, -3.83639, -3.81627, -3.47498, -3.4665, -4.54662, -3.70534, -3.28773, -3.34968, -2.25803, 
2003_5: -3.45532, -2.95516, -4.26456, -2.36409, -3.44283, -1.41048, -3.08992, -2.87119, -5.52706, -3.49841, -3.73215, -4.02835, -2.65532, -4.13119, -2.07431, -3.72361, -3.67352, -2.86883, -2.08179, -3.53872, -3.1337, -3.78002, -2.76217, -2.46728, -3.74594, -4.3448, -3.22402, -2.48729, -3.44956, -3.53027, -2.61956, -3.47578, -3.98509, -3.82559, -3.53242, -3.31212, -3.34307, -3.40178, -3.51089, -1.74532, 
1999_4: -3.02181, -3.492, -3.19238, -2.50433, -7.35333, -1.71942, -3.51659, -2.96991, -3.52364, -3.50277, -3.4749, -2.35632, -3.23713, -5.19582, -2.56455, -3.45015, -3.31629, -3.09192, -2.89608, -3.91745, -2.95765, -3.68501, -2.85639, -2.48617, -3.33904, -3.4916, -2.14782, -2.62188, -4.11178, -3.6775, -3.29405, -3.25737, -3.93726, -3.2027, -3.55611, -3.50604, -4.68765, -2.84908, -3.32621, -1.93115, 
